Name,IQBlock,Link,IQ,ControlNum,ControlProp,SingleNum,SingleProp,DoubleNum,DoubleProp,TripleNum,TripleProp
Riku Takahashi,LOW,show.php?id=wxnl4,83,22,0.55,22,0.55,16,0.4,20,0.5
Kaito Lopez,LOW,show.php?id=jfutf,86,21,0.525,18,0.45,26,0.65,19,0.475
Victor Durand,LOW,show.php?id=695jg,84,16,0.4,20,0.5,25,0.625,29,0.725
Ryan Durand,LOW,show.php?id=zr2ef,75,11,0.275,19,0.475,8,0.2,11,0.275
Daiki Gonzalez,LOW,show.php?id=4ch3a,85,15,0.375,23,0.575,18,0.45,25,0.625
Kevin Steiner,LOW,show.php?id=qwqkg,90,23,0.575,25,0.625,21,0.525,19,0.475
Orla Durand,LOW,show.php?id=lbffp,90,27,0.675,27,0.675,18,0.45,21,0.525
Austin Durand,LOW,show.php?id=42g4p,85,17,0.425,27,0.675,24,0.6,25,0.625
Kin McCarthy,LOW,show.php?id=md8ss,70,9,0.225,11,0.275,12,0.3,9,0.225
Javier Carrasco,LOW,show.php?id=5x7ft,84,20,0.5,20,0.5,20,0.5,23,0.575
Shin Carrasco,LOW,show.php?id=wnlyd,79,12,0.3,16,0.4,15,0.375,9,0.225
Takuya Carrasco,LOW,show.php?id=8jpxl,77,15,0.375,20,0.5,25,0.625,23,0.575
Ignacio Lopez,LOW,show.php?id=wjkcn,78,6,0.15,10,0.25,16,0.4,8,0.2
Eva Castro,LOW,show.php?id=5p8du,75,9,0.225,6,0.15,17,0.425,9,0.225
Shun Durand,LOW,show.php?id=9zhlp,75,9,0.225,21,0.525,19,0.475,21,0.525
Ai Durand,LOW,show.php?id=gs8gk,87,23,0.575,23,0.575,25,0.625,22,0.55
Esteban Kennedy,LOW,show.php?id=qrtz2,71,14,0.35,22,0.55,13,0.325,12,0.3
Kaito Durand,LOW,show.php?id=gf5ey,71,17,0.425,11,0.275,11,0.275,14,0.35
Gabriel Durand,LOW,show.php?id=8lm7z,84,17,0.425,25,0.625,18,0.45,19,0.475
Michael Carrasco,LOW,show.php?id=4ndwv,88,14,0.35,22,0.55,17,0.425,19,0.475
Ignacio Durand,LOW,show.php?id=be6wl,86,19,0.475,16,0.4,17,0.425,31,0.775
Emily Carrasco,LOW,show.php?id=fqdep,89,25,0.625,23,0.575,24,0.6,17,0.425
Hannah Lopez,LOW,show.php?id=2ytvj,83,11,0.275,18,0.45,25,0.625,18,0.45
James Durand,LOW,show.php?id=cmxym,87,28,0.7,23,0.575,32,0.8,26,0.65
Joshua Summers,LOW,show.php?id=mmdz3,76,14,0.35,7,0.175,11,0.275,16,0.4
Shun Durand,LOW,show.php?id=drtge,90,27,0.675,23,0.575,34,0.85,31,0.775
Bastian Carrasco,LOW,show.php?id=tf7nd,88,17,0.425,25,0.625,17,0.425,32,0.8
Gregor Lopez,LOW,show.php?id=l9gqk,82,21,0.525,19,0.475,19,0.475,13,0.325
Rin Durand,LOW,show.php?id=c3ymh,89,22,0.55,17,0.425,26,0.65,22,0.55
Masa Carrasco,LOW,show.php?id=4lk43,76,12,0.3,16,0.4,20,0.5,16,0.4
Daniel Takahashi,LOW,show.php?id=f3d2r,79,11,0.275,14,0.35,18,0.45,12,0.3
